t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
1597,1,MS,6.9151515100000,1,280442.3030736899818,280442.3030736899818,0.0025819900000
1598,1,MS,6.8909090900000,1,280296.0194940799847,280296.0194940799847,0.0025767200000
1599,1,MS,6.8757575800000,1,280152.5223556599813,280152.5223556599813,0.0025734300000
1600,1,MS,6.8757575800000,1,280011.7811769699911,280011.7811769699911,0.0025734300000
1601,1,MS,6.8454545400000,1,279874.2606855100021,279874.2606855100021,0.0025668600000
1602,1,MS,6.8454545400000,1,279739.7279622100177,279739.7279622100177,0.0025668600000
1603,1,MS,6.8242424200000,1,279608.4692137900274,279608.4692137900274,0.0025622700000
1604,1,MS,6.7393939400000,1,279480.4674691900145,279480.4674691900145,0.0025440000000
1605,1,MS,6.7151515100000,1,279354.2616807500017,279354.2616807500017,0.0025388000000
1606,1,MS,6.6727272700000,1,279229.5432624400128,279229.5432624400128,0.0025297200000
1607,1,MS,6.5939393900000,1,279106.1004569400102,279106.1004569400102,0.0025129500000
1608,1,MS,6.4939393900000,1,278981.7010298999958,278981.7010298999958,0.0024918000000
1609,1,MS,6.3636363600000,1,278853.7176510100253,278853.7176510100253,0.0024644900000
1610,1,MS,6.2030303000000,1,278721.4766791000147,278721.4766791000147,0.0024312000000
1611,1,MS,6.0515151500000,1,278583.6055066600093,278583.6055066600093,0.0024001700000
1612,1,MS,5.9060606100000,1,278440.5442806400242,278440.5442806400242,0.0023707300000
1613,1,MS,5.7484848500000,1,278292.4299206500291,278292.4299206500291,0.0023392000000
1614,1,MS,5.5939393900000,1,278138.5721626200248,278138.5721626200248,0.0023086600000
1615,1,MS,5.4393939400000,1,277978.3038979399716,277978.3038979399716,0.0022784800000
1616,1,MS,5.2575757600000,1,277813.8849581800168,277813.8849581800168,0.0022434300000
1617,1,MS,5.0696969700000,1,277647.6774222700042,277647.6774222700042,0.0022077400000
1618,1,MS,4.8636363600000,1,277480.9362342400127,277480.9362342400127,0.0021691900000
1619,1,MS,4.6575757600000,1,277314.6907488700235,277314.6907488700235,0.0021312500000
1620,1,MS,4.4787878800000,1,277149.3434239699855,277149.3434239699855,0.0020988300000
1621,1,MS,4.3363636400000,1,276985.3468046099879,276985.3468046099879,0.0020733300000
1622,1,MS,4.2515151500000,1,276822.2611667200108,276822.2611667200108,0.0020582700000
1623,1,MS,4.2090909100000,1,276660.0466273200000,276660.0466273200000,0.0020507800000
1624,1,MS,4.2151515100000,1,276498.4827767100069,276498.4827767100069,0.0020518500000
1625,1,MS,4.2939393900000,1,276337.0095456899726,276337.0095456899726,0.0020657900000
1626,1,MS,4.3787878800000,1,276175.8606543000205,276175.8606543000205,0.0020809000000
1627,1,MS,4.5000000000000,1,276014.9771744000027,276014.9771744000027,0.0021026600000
1628,1,MS,4.6030303000000,1,275854.1560747799813,275854.1560747799813,0.0021213200000
1629,1,MS,4.6727272700000,1,275693.1360576400184,275693.1360576400184,0.0021340200000
1630,1,MS,4.6757575800000,1,275532.1565165100037,275532.1565165100037,0.0021345800000
1631,1,MS,4.6090909100000,1,275371.2054214199889,275371.2054214199889,0.0021224200000
1632,1,MS,4.5090909100000,1,275207.2759806800168,275207.2759806800168,0.0021043000000
1633,1,MS,4.3909090900000,1,275036.3355106799863,275036.3355106799863,0.0020830600000
1634,1,MS,4.3181818200000,1,274855.8882791600190,274855.8882791600190,0.0020701000000
1635,1,MS,4.2303030300000,1,274663.9564869300229,274663.9564869300229,0.0020545200000
1636,1,MS,4.1696969700000,1,274459.7622920100112,274459.7622920100112,0.0020438500000
1637,1,MS,4.1333333300000,1,274243.8377010300173,274243.8377010300173,0.0020374700000
1638,1,MS,4.0212121200000,1,274017.8738150200224,274017.8738150200224,0.0020179000000
1639,1,MS,3.9181818200000,1,273782.3659826900112,273782.3659826900112,0.0020000800000
1640,1,MS,3.8181818200000,1,273539.7289250600152,273539.7289250600152,0.0019829200000
1641,1,MS,3.7424242400000,1,273292.5522470399737,273292.5522470399737,0.0019700100000
1642,1,MS,3.7000000000000,1,273042.0647125400137,273042.0647125400137,0.0019628100000
1643,1,MS,3.6787878800000,1,272789.4260634100065,272789.4260634100065,0.0019592200000
1644,1,MS,3.6636363600000,1,272536.1711342500057,272536.1711342500057,0.0019566600000
1645,1,MS,3.6666666700000,1,272283.1883093300276,272283.1883093300276,0.0019571700000
1646,1,MS,3.7000000000000,1,272030.7270096500288,272030.7270096500288,0.0019628100000
1647,1,MS,3.7515151500000,1,271779.2328656099853,271779.2328656099853,0.0019715500000
1648,1,MS,3.8212121200000,1,271528.8795484799775,271528.8795484799775,0.0019834400000
1649,1,MS,3.9333333300000,1,271279.2355668200180,271279.2355668200180,0.0020026900000
1650,1,MS,4.0727272700000,1,271030.1457672800170,271030.1457672800170,0.0020268700000
1651,1,MS,4.2242424200000,1,270781.7306875900249,270781.7306875900249,0.0020534500000
1652,1,MS,4.4000000000000,1,270533.7898620900232,270533.7898620900232,0.0020846900000
1653,1,MS,4.5545454600000,1,270286.9107944400166,270286.9107944400166,0.0021125200000
1654,1,MS,4.6575757600000,1,270042.1808388900245,270042.1808388900245,0.0021312500000
1655,1,MS,4.6969697000000,1,269800.8225349099957,269800.8225349099957,0.0021384600000
1656,1,MS,4.6818181800000,1,269562.6404079400236,269562.6404079400236,0.0021356900000
1657,1,MS,4.6454545400000,1,269326.0195715600275,269326.0195715600275,0.0021290400000
1658,1,MS,4.5757575800000,1,269090.3596439600224,269090.3596439600224,0.0021163600000
1659,1,MS,4.4818181800000,1,268854.7793470600154,268854.7793470600154,0.0020993800000
1660,1,MS,4.3787878800000,1,268618.9997217400232,268618.9997217400232,0.0020809000000
1661,1,MS,4.2787878800000,1,268383.0874547900166,268383.0874547900166,0.0020631000000
1662,1,MS,4.1424242400000,1,268147.7916734999744,268147.7916734999744,0.0020390600000
1663,1,MS,4.0212121200000,1,267912.9440508799744,267912.9440508799744,0.0020179000000
1664,1,MS,3.9333333300000,1,267678.8056568499887,267678.8056568499887,0.0020026900000
1665,1,MS,3.8545454500000,1,267445.9799768999801,267445.9799768999801,0.0019891400000
1666,1,MS,3.7696969700000,1,267215.1309400600148,267215.1309400600148,0.0019746500000
1667,1,MS,3.6666666700000,1,266987.0323305900092,266987.0323305900092,0.0019571700000
1668,1,MS,3.5363636400000,1,266762.7235462699900,266762.7235462699900,0.0019352800000
1669,1,MS,3.4727272700000,1,266541.2696782699786,266541.2696782699786,0.0019246700000
1670,1,MS,3.4424242400000,1,266322.4712178600021,266322.4712178600021,0.0019196300000
1671,1,MS,3.4969697000000,1,266105.0867235200130,266105.0867235200130,0.0019287000000
1672,1,MS,3.5909090900000,1,265888.6640818300075,265888.6640818300075,0.0019444200000
1673,1,MS,3.7515151500000,1,265672.2788944999920,265672.2788944999920,0.0019715500000
1674,1,MS,3.9393939400000,1,265455.7176643899875,265455.7176643899875,0.0020037400000
1675,1,MS,4.1060606100000,1,265239.6557899800246,265239.6557899800246,0.0020326900000
1676,1,MS,4.2757575800000,1,265023.4487820499926,265023.4487820499926,0.0020625700000
1677,1,MS,4.4303030300000,1,264806.3864810799714,264806.3864810799714,0.0020901200000
1678,1,MS,4.5151515200000,1,264588.9503578500007,264588.9503578500007,0.0021053900000
1679,1,MS,4.5545454600000,1,264370.9968872300233,264370.9968872300233,0.0021125200000
1680,1,MS,4.5363636400000,1,264145.1698448800016,264145.1698448800016,0.0021092200000
1681,1,MS,4.4787878800000,1,263902.9518219800084,263902.9518219800084,0.0020988300000
1682,1,MS,4.4000000000000,1,263642.1124349500169,263642.1124349500169,0.0020846900000
1683,1,MS,4.2787878800000,1,263361.0564685999998,263361.0564685999998,0.0020631000000
1684,1,MS,4.1575757600000,1,263060.3829284799867,263060.3829284799867,0.0020417200000
1685,1,MS,4.0212121200000,1,262742.5965898800059,262742.5965898800059,0.0020179000000
1686,1,MS,3.9151515100000,1,262407.8612858799752,262407.8612858799752,0.0019995600000
1687,1,MS,3.8030303000000,1,262057.3650463100057,262057.3650463100057,0.0019803300000
1688,1,MS,3.7121212100000,1,261698.3262255199952,261698.3262255199952,0.0019648600000
1689,1,MS,3.6363636400000,1,261336.0448221499973,261336.0448221499973,0.0019520600000
1690,1,MS,3.5606060600000,1,260973.7577622300014,260973.7577622300014,0.0019393300000
1691,1,MS,3.4757575800000,1,260614.1523338500119,260614.1523338500119,0.0019251700000
1692,1,MS,3.3848484900000,1,260258.9827098200039,260258.9827098200039,0.0019101000000
1693,1,MS,3.3000000000000,1,259909.0354521700065,259909.0354521700065,0.0018961300000
1694,1,MS,3.2454545400000,1,259564.0948003800004,259564.0948003800004,0.0018872000000
1695,1,MS,3.2787878800000,1,259222.1840523499995,259222.1840523499995,0.0018926500000
1696,1,MS,3.3727272700000,1,258882.0588941299939,258882.0588941299939,0.0019081000000
